internals,assignments,viva,lab_marks,mid_exam,attendance,study_hours,backlogs,sleep_hours,stress_level,previous_cgpa,branch,year,final_score,grade
14,11,2,15,12,82,2.6,0,7.5,1,5.4,ECE,1,49.55,FAIL
13,10,4,18,12,72,3.4,1,7.4,3,5.83,CSE,3,46.08,FAIL
12,11,4,11,10,84,2.8,3,5.6,4,5.11,ECE,1,41.19,FAIL
20,7,5,13,16,97,4.2,3,7.9,5,5.82,CSE,3,52.93,D
11,9,6,18,10,71,6.4,0,4.8,7,5.36,ECE,2,46.93,FAIL
12,9,3,11,11,71,2.5,0,6.0,6,4.71,MECH,2,40.95,FAIL
11,13,7,12,12,98,6.0,0,4.0,3,4.92,ECE,3,57.47,D
9,10,7,13,12,86,2.4,2,9.3,4,6.09,MECH,3,43.53,FAIL
16,7,4,8,10,67,2.3,0,6.7,5,5.44,MECH,4,41.01,FAIL
18,9,3,14,12,83,5.6,0,10.3,4,5.08,ECE,2,50.51,D
12,7,8,5,15,68,5.8,1,8.2,4,4.99,ECE,2,43.61,FAIL
16,13,7,16,14,68,5.7,2,7.7,2,6.65,ECE,4,49.68,FAIL
12,9,4,8,16,78,1.4,2,6.1,3,5.17,ECE,3,45.05,FAIL
9,6,1,14,8,46,3.1,2,5.4,4,4.45,MECH,2,28.88,FAIL
11,9,5,10,12,49,5.6,2,7.8,1,5.15,ECE,1,39.24,FAIL
13,7,3,9,10,66,4.1,2,6.9,6,4.42,CSE,3,35.88,FAIL
10,6,5,11,10,59,1.9,2,5.0,2,4.63,MECH,4,35.79,FAIL
16,8,5,16,14,79,4.9,0,4.7,6,5.57,CSE,1,53.64,D
16,6,1,11,11,61,2.6,2,5.6,6,4.5,ECE,4,37.18,FAIL
16,10,3,10,16,53,7.6,2,9.7,4,5.9,MECH,1,40.07,FAIL
19,14,5,19,19,96,7.1,1,10.3,7,7.04,ECE,1,65.65,C
11,8,7,13,14,71,5.2,0,7.3,6,4.92,CSE,3,44.32,FAIL
15,8,4,15,19,76,6.7,0,7.2,4,5.83,CSE,1,55.74,D
7,10,0,14,11,53,4.1,4,6.5,4,5.34,MECH,4,31.27,FAIL
17,8,3,10,16,66,5.5,2,5.6,7,4.42,MECH,4,42.37,FAIL
13,6,4,12,16,76,7.0,2,9.1,5,5.9,ECE,2,44.94,FAIL
8,7,7,15,5,57,4.5,2,9.8,7,5.93,ECE,3,34.85,FAIL
13,10,6,8,14,80,3.5,0,5.7,1,5.34,CSE,2,47.47,FAIL
12,6,1,12,16,65,0.6,0,6.9,5,5.12,ECE,3,40.39,FAIL
17,9,5,9,15,70,3.8,1,6.3,2,5.25,MECH,2,47.58,FAIL
15,7,6,19,14,65,5.6,1,6.4,5,6.06,ECE,4,51.09,D
18,9,5,11,14,100,5.9,2,8.8,6,5.19,MECH,3,52.93,D
16,6,4,9,18,74,5.0,0,5.0,8,4.86,CSE,2,47.89,FAIL
13,4,5,18,11,59,2.9,1,7.7,3,4.28,CSE,4,44.9,FAIL
9,6,4,16,8,87,0.0,0,8.1,4,4.81,CSE,1,46.5,FAIL
12,9,4,8,11,56,3.0,1,6.8,5,4.34,MECH,2,35.81,FAIL
9,10,6,10,11,78,3.4,1,8.3,3,5.39,CSE,3,44.92,FAIL
15,10,2,6,2,45,3.4,1,7.2,7,3.76,MECH,2,25.81,FAIL
15,7,5,13,12,55,5.2,1,8.8,5,5.1,CSE,2,43.13,FAIL
14,12,4,17,16,77,8.0,0,4.7,5,5.76,MECH,3,57.5,D
14,12,6,12,12,86,4.2,1,6.5,6,4.53,CSE,3,49.62,FAIL
10,11,3,18,12,77,3.6,2,6.9,5,4.87,ECE,2,42.34,FAIL
10,12,5,12,15,73,3.5,1,3.0,3,6.17,MECH,4,47.0,FAIL
16,9,4,7,11,70,4.2,0,5.4,5,5.14,ECE,2,41.43,FAIL
6,6,4,17,6,52,2.3,2,5.8,3,3.72,CSE,1,31.24,FAIL
11,6,2,14,8,64,4.2,3,8.4,5,4.46,MECH,3,32.09,FAIL
14,3,4,12,12,68,4.9,0,5.9,7,4.98,CSE,1,39.66,FAIL
15,10,5,16,16,90,4.4,3,5.8,3,5.7,ECE,1,53.0,D
11,8,3,15,8,80,4.9,1,8.2,2,5.55,MECH,3,42.92,FAIL
13,7,3,8,14,48,4.9,0,4.6,5,5.63,ECE,3,38.69,FAIL
